simulation,G1,G2,correlation,distance
1,3.0000,0.1000,0.130819,0.340070
1,3.0000,0.2000,0.163268,0.289967
1,3.0000,0.3000,0.186739,0.315573
1,3.0000,0.4000,0.148379,0.331910
1,3.0000,0.5000,0.199867,0.265561
1,3.0000,0.6000,0.136736,0.307906
1,3.0000,0.7000,0.135881,0.426265
1,3.0000,0.8000,0.214903,0.315530
1,3.0000,0.9000,0.232292,0.330151
1,3.0000,1.0000,0.254124,0.279153
1,3.0000,2.0000,0.136574,0.375817
1,3.0000,3.0000,0.170788,0.390148
1,3.0000,4.0000,0.346968,0.280825
1,3.0000,5.0000,0.207055,0.298832
1,3.0000,10.0000,0.278968,0.417877
1,3.0000,15.0000,0.358446,0.247301
1,3.0000,20.0000,0.355865,0.253444
1,3.0000,25.0000,0.403018,0.259731
1,3.0000,30.0000,0.380265,0.249569
1,4.0000,0.1000,0.107561,0.433684
1,4.0000,0.2000,0.117231,0.424536
1,4.0000,0.3000,0.132508,0.369533
1,4.0000,0.4000,0.127583,0.371718
1,4.0000,0.5000,0.151800,0.399932
1,4.0000,0.6000,0.140920,0.379668
1,4.0000,0.7000,0.117501,0.384625
1,4.0000,0.8000,0.133302,0.494623
1,4.0000,0.9000,0.152030,0.543106
1,4.0000,1.0000,0.191716,0.349632
1,4.0000,2.0000,0.164778,0.444249
1,4.0000,3.0000,0.171433,0.341685
1,4.0000,4.0000,0.216951,0.443042
1,4.0000,5.0000,0.129677,0.513330
1,4.0000,10.0000,0.123946,0.433084
1,4.0000,15.0000,0.225232,0.314529
1,4.0000,20.0000,0.236992,0.324540
1,4.0000,25.0000,0.338861,0.291157
1,4.0000,30.0000,0.274858,0.316086
1,5.0000,0.1000,0.112927,0.396010
1,5.0000,0.2000,0.081141,0.480242
1,5.0000,0.3000,0.130994,0.431777
1,5.0000,0.4000,0.116940,0.383864
1,5.0000,0.5000,0.091409,0.435823
1,5.0000,0.6000,0.152770,0.388631
1,5.0000,0.7000,0.135560,0.358560
1,5.0000,0.8000,0.079137,0.435339
1,5.0000,0.9000,0.131442,0.431251
1,5.0000,1.0000,0.135198,0.400992
1,5.0000,2.0000,0.129142,0.455724
1,5.0000,3.0000,0.089479,0.670960
1,5.0000,4.0000,0.213420,0.574274
1,5.0000,5.0000,0.099701,0.516509
1,5.0000,10.0000,0.187131,0.433508
1,5.0000,15.0000,0.153345,0.553833
1,5.0000,20.0000,0.121411,0.467637
1,5.0000,25.0000,0.241109,0.355183
1,5.0000,30.0000,0.215459,0.378732
1,10.0000,0.1000,0.158328,0.405220
1,10.0000,0.2000,0.115339,0.392867
1,10.0000,0.3000,0.135428,0.443591
1,10.0000,0.4000,0.154181,0.418603
1,10.0000,0.5000,0.139993,0.419433
1,10.0000,0.6000,0.138040,0.437182
1,10.0000,0.7000,0.147919,0.387734
1,10.0000,0.8000,0.136324,0.366233
1,10.0000,0.9000,0.136011,0.438701
1,10.0000,1.0000,0.083701,0.439751
1,10.0000,2.0000,0.127402,0.475285
1,10.0000,3.0000,0.129833,0.535306
1,10.0000,4.0000,0.135331,0.542462
1,10.0000,5.0000,0.201757,0.451778
1,10.0000,10.0000,0.063991,0.595763
1,10.0000,15.0000,0.088393,0.562359
1,10.0000,20.0000,0.098393,0.576994
1,10.0000,25.0000,0.068091,0.634819
1,10.0000,30.0000,0.103972,0.559933
1,15.0000,0.1000,0.071987,0.504658
1,15.0000,0.2000,0.074122,0.527425
1,15.0000,0.3000,0.075091,0.568303
1,15.0000,0.4000,0.084393,0.500404
1,15.0000,0.5000,0.077574,0.562011
1,15.0000,0.6000,0.079411,0.522100
1,15.0000,0.7000,0.092094,0.607272
1,15.0000,0.8000,0.084386,0.513045
1,15.0000,0.9000,0.086865,0.682687
1,15.0000,1.0000,0.092637,0.525638
1,15.0000,2.0000,0.065997,0.774181
1,15.0000,3.0000,0.076438,0.477557
1,15.0000,4.0000,0.080397,0.802088
1,15.0000,5.0000,0.028218,0.781289
1,15.0000,10.0000,0.008972,0.779859
1,15.0000,15.0000,0.080405,0.751911
1,15.0000,20.0000,0.025973,0.793842
1,15.0000,25.0000,0.053631,0.776531
1,15.0000,30.0000,0.036007,0.791721
1,20.0000,0.1000,0.070984,0.526142
1,20.0000,0.2000,0.061679,0.573211
1,20.0000,0.3000,0.072219,0.581927
1,20.0000,0.4000,0.061748,0.575869
1,20.0000,0.5000,0.069962,0.602000
1,20.0000,0.6000,0.080490,0.530389
1,20.0000,0.7000,0.072233,0.555910
1,20.0000,0.8000,0.072625,0.528456
1,20.0000,0.9000,0.078775,0.503949
1,20.0000,1.0000,0.067520,0.542236
1,20.0000,2.0000,0.070299,0.665800
1,20.0000,3.0000,-0.006301,0.789357
1,20.0000,4.0000,0.038053,0.814397
1,20.0000,5.0000,0.006445,0.786336
1,20.0000,10.0000,-0.025175,0.796282
1,20.0000,15.0000,0.036545,0.813036
1,20.0000,20.0000,0.090497,0.828970
1,20.0000,25.0000,-0.018497,0.797642
1,20.0000,30.0000,0.027142,0.731534
1,25.0000,0.1000,0.061692,0.570020
1,25.0000,0.2000,0.065507,0.565497
1,25.0000,0.3000,0.069396,0.577961
1,25.0000,0.4000,0.060549,0.556539
1,25.0000,0.5000,0.061848,0.558388
1,25.0000,0.6000,0.067195,0.581087
1,25.0000,0.7000,0.058119,0.564790
1,25.0000,0.8000,0.069000,0.564539
1,25.0000,0.9000,0.070782,0.582182
1,25.0000,1.0000,0.069383,0.574441
1,25.0000,2.0000,0.075787,0.585458
1,25.0000,3.0000,0.078739,0.564157
1,25.0000,4.0000,0.061054,0.726933
1,25.0000,5.0000,0.090596,0.534903
1,25.0000,10.0000,0.013907,0.800793
1,25.0000,15.0000,0.037451,0.831136
1,25.0000,20.0000,0.018261,0.787654
1,25.0000,25.0000,0.017214,0.813637
1,25.0000,30.0000,-0.003772,0.767588
1,30.0000,0.1000,0.054766,0.558553
1,30.0000,0.2000,0.062269,0.547965
1,30.0000,0.3000,0.062447,0.567956
1,30.0000,0.4000,0.067556,0.565348
1,30.0000,0.5000,0.068038,0.549070
1,30.0000,0.6000,0.062389,0.550471
1,30.0000,0.7000,0.060251,0.576230
1,30.0000,0.8000,0.064417,0.577550
1,30.0000,0.9000,0.068316,0.590873
1,30.0000,1.0000,0.068389,0.590560
1,30.0000,2.0000,0.063872,0.824458
1,30.0000,3.0000,0.056437,0.592550
1,30.0000,4.0000,-0.005345,0.820578
1,30.0000,5.0000,0.039441,0.828014
1,30.0000,10.0000,0.022334,0.815729
1,30.0000,15.0000,-0.001903,0.804618
1,30.0000,20.0000,-0.008130,0.787966
1,30.0000,25.0000,-0.019298,0.757295
1,30.0000,30.0000,0.011500,0.822061
2,0.1000,0.1000,0.048743,0.240656
2,0.1000,0.2000,0.028999,0.239016
2,0.1000,0.3000,0.049522,0.239058
2,0.1000,0.4000,0.074555,0.238988
2,0.1000,0.5000,0.152791,0.236413
2,0.1000,0.6000,0.126999,0.234406
2,0.1000,0.7000,0.149878,0.234513
2,0.1000,0.8000,0.176678,0.231870
2,0.1000,0.9000,0.232116,0.228941
2,0.1000,1.0000,0.219143,0.230668
2,0.1000,2.0000,0.297919,0.223306
2,0.1000,3.0000,0.291183,0.216611
2,0.1000,4.0000,0.329830,0.213560
2,0.1000,5.0000,0.368669,0.220142
2,0.1000,10.0000,0.372543,0.230665
2,0.1000,15.0000,0.372932,0.233861
2,0.1000,20.0000,0.384180,0.226321
2,0.1000,25.0000,0.351098,0.241229
2,0.1000,30.0000,0.393556,0.242069
2,0.2000,0.1000,0.097369,0.237440
2,0.2000,0.2000,0.057118,0.237295
